boro_cd,borough_code,borough_name,district_number,cd_label,cd_short
101,1,Manhattan,1,Manhattan Community District 1,MN 1
102,1,Manhattan,2,Manhattan Community District 2,MN 2
103,1,Manhattan,3,Manhattan Community District 3,MN 3
104,1,Manhattan,4,Manhattan Community District 4,MN 4
105,1,Manhattan,5,Manhattan Community District 5,MN 5
106,1,Manhattan,6,Manhattan Community District 6,MN 6
107,1,Manhattan,7,Manhattan Community District 7,MN 7
108,1,Manhattan,8,Manhattan Community District 8,MN 8
109,1,Manhattan,9,Manhattan Community District 9,MN 9
110,1,Manhattan,10,Manhattan Community District 10,MN 10
111,1,Manhattan,11,Manhattan Community District 11,MN 11
112,1,Manhattan,12,Manhattan Community District 12,MN 12
201,2,Bronx,1,Bronx Community District 1,BX 1
202,2,Bronx,2,Bronx Community District 2,BX 2
203,2,Bronx,3,Bronx Community District 3,BX 3
204,2,Bronx,4,Bronx Community District 4,BX 4
205,2,Bronx,5,Bronx Community District 5,BX 5
206,2,Bronx,6,Bronx Community District 6,BX 6
207,2,Bronx,7,Bronx Community District 7,BX 7
208,2,Bronx,8,Bronx Community District 8,BX 8
209,2,Bronx,9,Bronx Community District 9,BX 9
210,2,Bronx,10,Bronx Community District 10,BX 10
211,2,Bronx,11,Bronx Community District 11,BX 11
212,2,Bronx,12,Bronx Community District 12,BX 12
301,3,Brooklyn,1,Brooklyn Community District 1,BK 1
302,3,Brooklyn,2,Brooklyn Community District 2,BK 2
303,3,Brooklyn,3,Brooklyn Community District 3,BK 3
304,3,Brooklyn,4,Brooklyn Community District 4,BK 4
305,3,Brooklyn,5,Brooklyn Community District 5,BK 5
306,3,Brooklyn,6,Brooklyn Community District 6,BK 6
307,3,Brooklyn,7,Brooklyn Community District 7,BK 7
308,3,Brooklyn,8,Brooklyn Community District 8,BK 8
309,3,Brooklyn,9,Brooklyn Community District 9,BK 9
310,3,Brooklyn,10,Brooklyn Community District 10,BK 10
311,3,Brooklyn,11,Brooklyn Community District 11,BK 11
312,3,Brooklyn,12,Brooklyn Community District 12,BK 12
313,3,Brooklyn,13,Brooklyn Community District 13,BK 13
314,3,Brooklyn,14,Brooklyn Community District 14,BK 14
315,3,Brooklyn,15,Brooklyn Community District 15,BK 15
316,3,Brooklyn,16,Brooklyn Community District 16,BK 16
317,3,Brooklyn,17,Brooklyn Community District 17,BK 17
318,3,Brooklyn,18,Brooklyn Community District 18,BK 18
401,4,Queens,1,Queens Community District 1,QN 1
402,4,Queens,2,Queens Community District 2,QN 2
403,4,Queens,3,Queens Community District 3,QN 3
404,4,Queens,4,Queens Community District 4,QN 4
405,4,Queens,5,Queens Community District 5,QN 5
406,4,Queens,6,Queens Community District 6,QN 6
407,4,Queens,7,Queens Community District 7,QN 7
408,4,Queens,8,Queens Community District 8,QN 8
409,4,Queens,9,Queens Community District 9,QN 9
410,4,Queens,10,Queens Community District 10,QN 10
411,4,Queens,11,Queens Community District 11,QN 11
412,4,Queens,12,Queens Community District 12,QN 12
413,4,Queens,13,Queens Community District 13,QN 13
414,4,Queens,14,Queens Community District 14,QN 14
501,5,Staten Island,1,Staten Island Community District 1,SI 1
502,5,Staten Island,2,Staten Island Community District 2,SI 2
503,5,Staten Island,3,Staten Island Community District 3,SI 3
