boro_cd,n_waste_zones,commercial_waste_zone_pct,waste_zone_names,population
101,4,100.0,"MN-1B, BK-2, MN-2, MN-1A",72470.0
102,5,99.7,"MN-1B, MN-5, MN-3, MN-2, MN-1A",85706.0
103,4,100.0,"MN-1B, MN-3, MN-2, MN-1A",155194.0
104,5,99.9,"MN-1B, MN-5, MN-3, MN-4, MN-6",116457.0
105,6,100.0,"MN-1B, MN-5, MN-3, MN-2, MN-4, MN-6",50450.0
106,6,100.0,"BK-1, QN-1, MN-3, MN-2, MN-4, MN-6",143639.0
107,3,100.0,"MN-7, MN-5, MN-6",220646.0
108,4,99.9,"QN-1, MN-2, MN-4, MN-6",211135.0
109,2,100.0,"MN-7, MN-5",114528.0
110,3,100.0,"MN-7, MN-5, MN-6",135884.0
111,2,100.0,"MN-7, MN-6",125413.0
112,1,100.0,MN-7,202680.0
201,2,100.0,"BX-1, BX-2",100606.0
202,2,100.0,"BX-1, BX-2",55508.0
203,2,100.0,"BX-1, BX-2",88856.0
204,1,100.0,BX-1,153883.0
205,1,100.0,BX-1,137347.0
206,2,100.0,"BX-1, BX-2",87409.0
207,2,100.0,"BX-1, BX-2",139443.0
208,1,100.0,BX-1,106607.0
209,2,100.0,"BX-1, BX-2",172669.0
210,1,99.9,BX-2,129124.0
211,2,100.0,"BX-1, BX-2",117283.0
212,2,100.0,"BX-1, BX-2",161037.0
301,4,100.0,"BK-1, BK-2, MN-2, QN-2",201535.0
302,3,100.0,"BK-1, BK-2, BK-3",126308.0
303,3,100.0,"BK-1, BK-2, BK-3",182441.0
304,3,100.0,"BK-1, BK-3, QN-2",115024.0
305,4,100.0,"BK-1, QN-4, BK-3, QN-2",205303.0
306,2,100.0,"BK-2, BK-3",120661.0
307,4,100.0,"BK-5, BK-2, BK-3, BK-4",122767.0
308,3,100.0,"BK-1, BK-2, BK-3",110281.0
309,2,100.0,"BK-5, BK-3",99978.0
310,2,100.0,"BK-2, BK-4",127569.0
311,2,100.0,"BK-5, BK-4",188487.0
312,3,100.0,"BK-5, BK-2, BK-4",192058.0
313,2,99.9,"BK-5, BK-4",110299.0
314,4,100.0,"BK-5, BK-2, BK-3, BK-4",164539.0
315,3,100.0,"BK-5, BK-3, BK-4",157254.0
316,2,100.0,"BK-1, BK-3",94660.0
317,2,100.0,"BK-5, BK-3",158546.0
318,2,99.8,"BK-5, BK-3",200230.0
401,2,100.0,"QN-1, QN-2",171270.0
402,2,99.9,"QN-1, QN-2",124372.0
403,3,100.0,"QN-3, QN-1, QN-2",161901.0
404,3,100.0,"QN-3, QN-1, QN-2",175166.0
405,4,100.0,"BK-1, QN-1, BK-3, QN-2",184935.0
406,3,100.0,"QN-3, QN-4, QN-2",122344.0
407,1,100.0,QN-3,250032.0
408,2,100.0,"QN-3, QN-4",159983.0
409,4,100.0,"QN-3, QN-4, BK-3, QN-2",150819.0
410,2,99.7,"QN-4, BK-3",138303.0
411,2,100.0,"QN-3, QN-4",123356.0
412,2,100.0,"QN-3, QN-4",257420.0
413,2,100.0,"QN-3, QN-4",206684.0
414,1,99.8,QN-4,134226.0
501,1,100.0,SI-1,182838.0
502,1,100.0,SI-1,141364.0
503,1,100.0,SI-1,168027.0
