,boro_cd,n_segments,n_records,mean_volume,median_volume,total_volume,nighttime_mean_vol,daytime_mean_vol,night_day_ratio
0,103,6,4518,155.53010181496236,119.0,702685,122.62943262411348,175.2285916489738,0.6998254763684374
1,104,4,3646,89.5049369171695,78.0,326335,47.719298245614034,114.59833187006146,0.4164048242841883
2,105,5,3168,164.947601010101,163.0,522554,122.39225589225589,190.4808080808081,0.6425437666157587
3,106,8,2094,110.19627507163324,69.0,230751,70.4857881136951,133.4810606060606,0.5280583462077671
4,107,4,4386,150.56269949840402,88.0,660368,72.37285012285012,196.7168237853517,0.3679037142335118
5,108,7,3840,323.76276041666665,194.0,1243249,196.96875,399.83916666666664,0.4926199492712695
6,110,4,1885,43.12254641909814,39.0,81286,22.7316715542522,54.682460515378224,0.4157031585632366
7,111,1,1728,46.54398148148148,41.0,80428,20.95216049382716,61.89907407407407,0.33848907770015907
8,112,5,3635,58.41843191196699,41.0,212351,33.814380044020545,73.17869718309859,0.46207955792673416
9,201,5,10553,107.07647114564578,34.0,1129978,69.92521475492673,129.37285822592872,0.5404936994807186
10,203,10,7007,96.7042957042957,64.0,677607,45.62047963456414,127.34292237442922,0.35824903955341336
11,204,4,738,40.27506775067751,43.0,29723,22.315384615384616,50.04393305439331,0.4459158833725114
12,205,6,3072,51.657877604166664,54.0,158693,28.47048611111111,65.5703125,0.4341978103445993
13,206,14,5664,93.70250706214689,45.0,530731,54.911529411764704,116.99463125176604,0.4693508481906157
14,207,2,1152,36.384548611111114,28.0,41915,11.863425925925926,51.09722222222222,0.23217359789797953
15,209,3,3719,91.62463027695617,95.0,340752,42.21699438202247,122.28104575163398,0.34524561122718683
16,210,3,351,6.786324786324786,6.0,2382,1.6982758620689655,9.297872340425531,0.18265209500512902
17,211,4,3566,84.75378575434661,66.0,302232,26.60928143712575,119.58834080717489,0.22250732184695787
18,212,9,2721,87.17346563763323,61.0,237199,28.045497630331752,124.61644657863145,0.2250545445671602
19,301,6,3648,60.32538377192982,51.0,220067,31.999269005847953,77.32105263157895,0.4138493711191281
20,302,10,5157,252.20283110335467,195.0,1300610,160.906103286385,306.2200617283951,0.5254590518275783
21,303,2,2584,48.744582043343655,50.0,125956,26.238589211618258,62.13703703703704,0.4222697196839083
22,304,7,3027,23.594317806408984,22.0,71420,10.387589928057555,31.263185378590077,0.3322626854002943
23,305,8,8411,83.0015455950541,58.0,698126,38.175166297117514,109.93661971830986,0.34724704466021955
24,306,20,5969,162.57346289160662,50.0,970401,85.239982190561,209.2269674993285,0.4074043762586893
25,307,7,3045,47.8568144499179,27.0,145724,15.994082840236686,68.10042964554243,0.23486023397333428
26,308,3,1632,45.212622549019606,43.0,73787,17.823529411764707,61.64607843137255,0.2891267354760731
27,309,2,2016,28.36904761904762,21.0,57192,14.796296296296296,36.51269841269841,0.4052369980727151
28,310,5,2212,58.239602169981914,52.0,128826,22.55889423076923,79.75144927536232,0.2828650066643788
29,311,3,2304,121.49913194444444,113.0,279934,57.023148148148145,160.18472222222223,0.3559836878141266
30,312,3,1650,15.131515151515151,14.0,24967,6.666666666666667,20.359803921568627,0.3274425771656956
31,313,15,13182,94.03815809437111,78.0,1239611,32.870221327967805,131.05772040915733,0.2508072109399446
32,314,8,8124,74.8643525356967,63.0,608198,40.63795379537954,95.22281115037299,0.4267670036668557
33,315,7,3935,47.783989834815756,27.0,188030,15.03728813559322,67.41869918699187,0.2230432849777469
34,316,2,2016,44.18055555555556,42.0,89068,22.686507936507937,57.07698412698413,0.39747208587677463
35,317,1,672,197.52232142857142,210.0,132735,111.8015873015873,248.9547619047619,0.44908394780718114
36,318,7,6606,185.0909778988798,167.0,1222711,87.24371451743714,243.37391304347827,0.3584760314958293
37,401,3,2784,58.377155172413794,49.0,162522,28.231800766283524,76.46436781609195,0.3692151203575652
38,402,5,1931,232.892283790782,72.0,449715,145.5236111111111,284.8373245251858,0.5109007794315371
39,403,6,2998,75.41094062708473,57.0,226082,28.833919156414762,103.90806451612903,0.27749452644206496
40,405,10,4901,151.11711895531525,8.0,740625,96.46187845303868,183.12164348107407,0.5267639401838821
41,406,3,2112,18.511363636363637,13.0,39096,4.450757575757576,26.947727272727274,0.16516263248151586
42,407,9,8013,69.78584799700486,61.0,559194,27.363124793114864,95.45873397435898,0.2866487292872
43,408,11,4045,166.4071693448702,23.0,673117,80.25132625994695,217.61844698462752,0.36877078837721816
44,409,4,1433,75.60921144452197,74.0,108348,34.43357933579336,100.65656565656566,0.34208974954777144
45,410,7,5735,159.97192676547516,87.0,917439,90.33596654275092,201.7962601172202,0.4476592702475071
46,411,5,2977,249.12898891501513,21.0,741657,136.5304114490161,316.845615922539,0.43090516197135714
47,412,5,3456,82.59056712962963,64.0,285433,43.96527777777778,105.76574074074074,0.41568543339140485
48,413,14,11763,110.6671767406274,57.0,1301778,40.64116575591986,152.39207705874372,0.2666881805164556
49,414,4,3291,74.50440595563659,66.0,245194,29.72814755412991,101.82142857142857,0.2919635677010304
50,501,3,2208,71.74411231884058,57.0,158411,33.34661835748792,94.78260869565217,0.35182212028542303
51,502,7,5208,159.3565668202765,63.0,829929,52.741308793456035,223.4830873308733,0.23599686859243613
52,503,1,96,160.375,173.5,15396,36.72222222222222,234.56666666666666,0.15655345554450287
