boro_cd,ems_response_min_night,ems_response_min_day,ems_night_day_response_ratio,ems_dispatch_sec_night,ems_dispatch_sec_day,ems_incidents_night_est
101,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,13337.0
102,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,15772.0
103,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,28560.0
104,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,21431.0
105,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,9284.0
106,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,26434.0
107,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,40605.0
108,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,38855.0
109,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,21077.0
110,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,25007.0
111,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,23080.0
112,10.28179718317977,11.748704521067017,0.8751430563891632,162.06086965195965,158.72247371862582,37299.0
201,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,19973.0
202,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,11020.0
203,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,17641.0
204,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,30550.0
205,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,27267.0
206,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,17353.0
207,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,27684.0
208,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,21165.0
209,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,34280.0
210,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,25635.0
211,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,23284.0
212,10.893458711314478,10.764518483890306,1.0119782624385045,143.93367798959775,119.09412337599096,31971.0
301,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,25320.0
302,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,15869.0
303,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,22921.0
304,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,14451.0
305,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,25794.0
306,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,15159.0
307,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,15424.0
308,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,13855.0
309,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,12561.0
310,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,16027.0
311,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,23681.0
312,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,24129.0
313,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,13858.0
314,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,20672.0
315,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,19757.0
316,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,11893.0
317,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,19919.0
318,10.707085514211748,9.982746198686693,1.0725591236227512,117.23159368340332,73.9744882399924,25156.0
401,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,17939.0
402,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,13027.0
403,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,16957.0
404,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,18347.0
405,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,19370.0
406,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,12814.0
407,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,26188.0
408,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,16756.0
409,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,15797.0
410,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,14486.0
411,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,12920.0
412,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,26962.0
413,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,21648.0
414,9.259326520212886,9.309702935524516,0.9945888267691764,73.57043774366275,54.34442953741275,14059.0
501,8.396089006156553,9.172559958649208,0.9153485007464588,62.20913984168865,57.61081323225362,17597.0
502,8.396089006156553,9.172559958649208,0.9153485007464588,62.20913984168865,57.61081323225362,13606.0
503,8.396089006156553,9.172559958649208,0.9153485007464588,62.20913984168865,57.61081323225362,16172.0
