boro_cd,citibike_trips_night,citibike_stations,population,area_km2,citibike_trips_night_per_1k,citibike_stations_per_km2,citibike_coverage_flag
101,406252.0,3121.0,72470.0,3.8737874499500387,1868.5985005289547,805.6714624443972,1
102,986265.0,2429.0,85706.0,3.5046851260186433,3835.8457984271813,693.0722483361487,1
103,1106609.0,2623.0,155194.0,4.355157365325947,2376.8294306910493,602.2744484236772,1
104,1091736.0,3539.0,116457.0,4.581039450588122,3124.861536876272,772.532094117997,1
105,861284.0,7084.0,50450.0,4.068232238002258,5690.677238189627,1741.2968546453144,1
106,619855.0,2798.0,143639.0,3.5981447706273566,1438.455665476182,777.6229636008095,1
107,490274.0,2522.0,220646.0,4.938038115770943,740.6645335363735,510.72914806901144,1
108,434432.0,2496.0,211135.0,5.129629966047523,685.8676518183469,486.58480563330284,1
109,130121.0,952.0,114528.0,3.8921667500588963,378.7167039210207,244.5938370923071,1
110,225236.0,977.0,135884.0,3.630064305945828,552.5202869113853,269.1412376358547,1
111,198253.0,1087.0,125413.0,6.146537348369612,526.9336777952312,176.84753844183996,1
112,96891.0,1071.0,202680.0,7.243065415948536,159.34971383461613,147.86557051407553,1
201,82513.0,792.0,100606.0,5.611318014480505,273.3866104738617,141.1433103517166,1
202,24643.0,268.0,55508.0,5.742246988356088,147.98467488169874,46.67162533124059,1
203,64189.0,589.0,88856.0,4.16179490253111,240.797845202725,141.5254748958877,1
204,110456.0,858.0,153883.0,5.158172659629183,239.26402959824452,166.33797598812464,1
205,51321.0,665.0,137347.0,3.559759490659611,124.55313912935848,186.8103734942997,1
206,1076.0,50.0,87409.0,3.9634652158186445,4.103315066717005,12.615223618071445,1
207,40540.0,497.0,139443.0,4.952478084391308,96.90937037594811,100.3538009721621,1
208,424.0,30.0,106607.0,8.554144629501598,1.3257415867000604,3.5070718697619134,1
209,0.0,0.0,,,0.0,0.0,0
210,0.0,0.0,,,0.0,0.0,0
211,0.0,0.0,,,0.0,0.0,0
212,0.0,0.0,,,0.0,0.0,0
301,773461.0,1679.0,201535.0,12.234944666947325,1279.2831683495838,137.2298809438685,1
302,478501.0,2307.0,126308.0,7.369099001089401,1262.788844200948,313.06405296752666,1
303,216931.0,868.0,182441.0,7.382257203906427,396.34913935646773,117.57921405673666,1
304,295981.0,1008.0,115024.0,5.264174662470165,857.7369360597208,191.4830081886009,1
305,469.0,7.0,205303.0,14.445333654612204,0.761476127155148,0.48458555318762003,1
306,286156.0,1154.0,120661.0,7.943389272863155,790.5233118682369,145.27803691333466,1
307,78318.0,785.0,122767.0,9.673678709323408,212.64672102437953,81.14803308935863,1
308,149786.0,579.0,110281.0,4.237184409549611,452.74042370550376,136.64734503767903,1
309,49028.0,207.0,99978.0,4.209871795190123,163.46262844492455,49.170143432040454,1
310,5619.0,41.0,127569.0,10.34419038869814,14.682250389985027,3.9635774728968447,1
311,0.0,0.0,,,0.0,0.0,0
312,7793.0,93.0,192058.0,9.246190267768133,13.52542808248897,10.058196652538555,1
313,0.0,0.0,,,0.0,0.0,0
314,11606.0,70.0,164539.0,7.634322307929554,23.5121561858688,9.169117726047928,1
315,0.0,0.0,,,0.0,0.0,0
316,21085.0,180.0,94660.0,4.809504203652286,74.24818649200648,37.42589513973393,1
317,3192.0,29.0,158546.0,8.716147589532284,6.710986086057043,3.327157979154431,1
318,0.0,0.0,,,0.0,0.0,0
401,332055.0,1704.0,171270.0,15.927679853252856,646.2602907689612,106.98356670271708,1
402,145659.0,1059.0,124372.0,13.007399457908779,390.38529572572605,81.41519782081461,1
403,13186.0,87.0,161901.0,7.7550725228737125,27.14827785704432,11.21846375303288,1
404,5110.0,58.0,175166.0,6.107447104168691,9.724109321063068,9.496602919477043,1
405,71932.0,412.0,184935.0,19.546405707233916,129.6527608799488,21.078044023588603,1
406,0.0,0.0,,,0.0,0.0,0
407,0.0,0.0,,,0.0,0.0,0
408,0.0,0.0,,,0.0,0.0,0
409,0.0,0.0,,,0.0,0.0,0
410,0.0,0.0,,,0.0,0.0,0
411,0.0,0.0,,,0.0,0.0,0
412,0.0,0.0,,,0.0,0.0,0
413,0.0,0.0,,,0.0,0.0,0
414,0.0,0.0,,,0.0,0.0,0
501,0.0,0.0,,,0.0,0.0,0
502,0.0,0.0,,,0.0,0.0,0
503,0.0,0.0,,,0.0,0.0,0
