boro_cd,total_licenses,on_premises_count,population,license_rate_per_1k_pop,on_premises_rate_per_1k_pop,on_premises_share
101,670,432,72470.0,9.245204912377536,5.961087346488203,0.6447761194029851
102,1189,787,85706.0,13.873007724079994,9.182554313583646,0.6619007569386038
103,1187,662,155194.0,7.648491565395569,4.26562882585667,0.5577085088458298
104,1190,785,116457.0,10.218363859622007,6.7406854031960295,0.6596638655462185
105,2367,1701,50450.0,46.91774033696729,33.71655104063429,0.7186311787072244
106,647,419,143639.0,4.504347705010478,2.917035067077883,0.6476043276661515
107,569,352,220646.0,2.5787913671673177,1.5953155733618556,0.6186291739894552
108,715,448,211135.0,3.3864589007033414,2.121865157363772,0.6265734265734266
109,192,74,114528.0,1.6764459346186085,0.6461302039675887,0.3854166666666667
110,213,67,135884.0,1.5675134673692266,0.4930676164964234,0.3145539906103286
111,204,61,125413.0,1.6266256289220415,0.48639295766786533,0.29901960784313725
112,417,154,202680.0,2.0574304322084074,0.7598184329978291,0.36930455635491605
201,195,44,100606.0,1.9382541796711925,0.4373496610540127,0.22564102564102564
202,124,14,55508.0,2.233912228867911,0.2522158968076674,0.11290322580645161
203,104,9,88856.0,1.1704330602322859,0.10128747636625551,0.08653846153846154
204,375,167,153883.0,2.4369163585321316,1.0852400849996426,0.44533333333333336
205,186,28,137347.0,1.3542341660174595,0.20386320778757452,0.15053763440860216
206,214,59,87409.0,2.4482604766099603,0.6749877014952693,0.2757009345794392
207,190,39,139443.0,1.3625639150046973,0.27968417202727996,0.20526315789473684
208,141,54,106607.0,1.3226148376748244,0.5065333420882305,0.3829787234042553
209,217,39,172669.0,1.2567397737868409,0.22586567362989304,0.17972350230414746
210,242,97,129124.0,1.874167466931012,0.7512158855054056,0.40082644628099173
211,147,30,117283.0,1.253378580015859,0.255791546942012,0.20408163265306123
212,181,33,161037.0,1.123965299900023,0.20492185025801526,0.18232044198895028
301,1135,529,201535.0,5.631776118292108,2.624854243679758,0.466079295154185
302,615,326,126308.0,4.869050258099249,2.5809924945371634,0.5300813008130081
303,380,74,182441.0,2.0828651454442806,0.40561058095493885,0.19473684210526315
304,448,118,115024.0,3.8948393378773125,1.0258728613158992,0.26339285714285715
305,301,41,205303.0,1.4661256776569267,0.19970482652469765,0.1362126245847176
306,591,308,120661.0,4.898020072765848,2.552606061610628,0.5211505922165821
307,401,122,122767.0,3.266350077789634,0.9937523927439785,0.30423940149625933
308,272,95,110281.0,2.4664266736790563,0.8614357867629057,0.3492647058823529
309,152,34,99978.0,1.5203344735841886,0.3400748164596211,0.2236842105263158
310,272,102,127569.0,2.132179447985012,0.7995672929943795,0.375
311,300,74,188487.0,1.591621703353547,0.3926000201605416,0.24666666666666667
312,202,43,192058.0,1.0517656124712327,0.22389069968447034,0.21287128712871287
313,194,47,110299.0,1.7588554746643215,0.4261144706660985,0.2422680412371134
314,209,69,164539.0,1.2702155719920507,0.4193534663514425,0.33014354066985646
315,257,94,157254.0,1.634298650590764,0.597759039515688,0.3657587548638132
316,129,14,94660.0,1.3627720261990282,0.14789773927741393,0.10852713178294573
317,188,25,158546.0,1.185775737010079,0.15768294375134032,0.13297872340425532
318,207,47,200230.0,1.0338111172152025,0.23473006043050493,0.22705314009661837
401,656,280,171270.0,3.830209610556431,1.6348455654814036,0.4268292682926829
402,496,207,124372.0,3.9880358923230306,1.6643617534493294,0.4173387096774194
403,443,168,161901.0,2.7362400479305253,1.0376711694183482,0.3792325056433409
404,358,122,175166.0,2.0437756185561122,0.6964821940330886,0.3407821229050279
405,470,132,184935.0,2.541433476626923,0.713764295563306,0.28085106382978725
406,242,123,122344.0,1.978029163669653,1.0053619302949062,0.5082644628099173
407,779,486,250032.0,3.11560120304601,1.9437511998464196,0.6238767650834403
408,150,37,159983.0,0.9375996199596207,0.2312745729233731,0.24666666666666667
409,279,60,150819.0,1.849899548465379,0.3978278598850277,0.21505376344086022
410,278,110,138303.0,2.010079318597572,0.7953551260637876,0.39568345323741005
411,224,107,123356.0,1.8158824864619476,0.8674081520153053,0.47767857142857145
412,331,48,257420.0,1.2858363763499339,0.1864656980809572,0.14501510574018128
413,193,47,206684.0,0.9337926496487391,0.22740028255694683,0.24352331606217617
414,151,47,134226.0,1.124968336983893,0.3501557075380329,0.31125827814569534
501,360,109,182838.0,1.968956125094346,0.5961561600980103,0.30277777777777776
502,231,114,141364.0,1.6340793978665007,0.806428793752299,0.4935064935064935
503,240,109,168027.0,1.4283418736274527,0.6487052676058014,0.45416666666666666
