boro_cd,night_film_permits,population,night_film_permits_per_year,film_activity_per_1k
101,224.0,72470.0,74.66666666666667,1.030311393220183
102,168.0,85706.0,56.0,0.6533964949945161
103,276.0,155194.0,92.0,0.5928064229287215
104,497.0,116457.0,165.66666666666666,1.4225565373199265
105,589.0,50450.0,196.33333333333334,3.891641889659729
106,62.0,143639.0,20.666666666666668,0.1438792157190364
107,252.0,220646.0,84.0,0.38070030727953375
108,98.0,211135.0,32.666666666666664,0.15471933439110838
109,34.0,114528.0,11.333333333333334,0.0989568780851262
110,39.0,135884.0,13.0,0.09566983603661948
111,173.0,125413.0,57.666666666666664,0.45981410752208035
112,75.0,202680.0,25.0,0.12334714821393329
201,40.0,100606.0,13.333333333333334,0.1325302003193978
202,7.0,55508.0,2.3333333333333335,0.0420359828012779
203,2.0,88856.0,0.6666666666666666,0.007502776027130038
204,5.0,153883.0,1.6666666666666667,0.010830739371253917
205,5.0,137347.0,1.6666666666666667,0.01213471474926039
206,3.0,87409.0,1.0,0.011440469516868971
207,7.0,139443.0,2.3333333333333335,0.016733241061461193
208,13.0,106607.0,4.333333333333333,0.04064773732806789
209,11.0,172669.0,3.6666666666666665,0.021235234272895923
210,2.0,129124.0,0.6666666666666666,0.0051629957766694545
211,2.0,117283.0,0.6666666666666666,0.005684256598711379
212,3.0,161037.0,1.0,0.0062097530381216735
301,661.0,201535.0,220.33333333333334,1.0932757750928292
302,153.0,126308.0,51.0,0.40377489945213285
303,43.0,182441.0,14.333333333333334,0.07856421162640707
304,30.0,115024.0,10.0,0.08693837807761859
305,33.0,205303.0,11.0,0.05357934370174815
306,112.0,120661.0,37.333333333333336,0.3094067953467428
307,35.0,122767.0,11.666666666666666,0.09503096651923292
308,21.0,110281.0,7.0,0.06347421586674042
309,7.0,99978.0,2.3333333333333335,0.02333846779624851
310,16.0,127569.0,5.333333333333333,0.04180744015656886
311,2.0,188487.0,0.6666666666666666,0.0035369371185634377
312,5.0,192058.0,1.6666666666666667,0.0086779340962973
313,21.0,110299.0,7.0,0.0634638573332487
314,65.0,164539.0,21.666666666666668,0.13168104015866555
315,4.0,157254.0,1.3333333333333333,0.008478851624336
316,4.0,94660.0,1.3333333333333333,0.014085498978801323
317,0.0,,0.0,0.0
318,13.0,200230.0,4.333333333333333,0.021641778621252227
401,74.0,171270.0,24.666666666666668,0.1440221093400284
402,196.0,124372.0,65.33333333333333,0.5253058030210443
403,7.0,161901.0,2.3333333333333335,0.014412099575254836
404,32.0,175166.0,10.666666666666666,0.0608946180575378
405,85.0,184935.0,28.333333333333332,0.1532069826335379
406,6.0,122344.0,2.0,0.016347348460079777
407,18.0,250032.0,6.0,0.023996928393165674
408,5.0,159983.0,1.6666666666666667,0.010417773555106896
409,8.0,150819.0,2.6666666666666665,0.017681238217112344
410,3.0,138303.0,1.0,0.007230501146034431
411,6.0,123356.0,2.0,0.01621323648626739
412,7.0,257420.0,2.3333333333333335,0.009064304767824308
413,1.0,206684.0,0.3333333333333333,0.001612767961396786
414,11.0,134226.0,3.6666666666666665,0.027317111935591217
501,10.0,182838.0,3.3333333333333335,0.018231075232355055
502,1.0,141364.0,0.3333333333333333,0.0023579789291002895
503,3.0,168027.0,1.0,0.0059514244734477206
