boro_cd,arrest_count,felony_arrests,drug_arrests,dui_arrests,population,arrest_rate_per_1k,felony_arrest_rate_per_1k,drug_arrest_rate_per_1k,dui_arrest_rate_per_1k,nighttime_crimes_total,all_hours_arrest_to_night_crime_ratio
101,9633,4467,317,60,72470.0,44.30798951290189,20.54643300676142,1.4580746055839198,0.27597626604112047,0.0,0.0
102,7558,3277,634,48,85706.0,29.395063745050912,12.745120917244222,2.465793915634067,0.18668471285557603,7314.0,1.0333606781514904
103,13893,6305,756,116,155194.0,29.840071136770753,13.542190204947786,1.623774114978672,0.249150525578738,7926.0,1.7528387585162755
104,17947,8222,1979,76,116457.0,51.369461117265026,23.53372203188015,5.6644655681209946,0.21753379645133683,3018.0,5.946653412856196
105,18055,6611,1020,47,50450.0,119.29302940204822,43.680211430459195,6.739345887016848,0.3105384869507763,11939.0,1.5122707094396515
106,7404,3247,154,58,143639.0,17.18196311586686,7.53509376515663,0.35737740678599356,0.13459668567264693,6100.0,1.2137704918032788
107,8290,3068,214,76,220646.0,12.5238315370926,4.634875169577816,0.32329311808658817,0.11481437838589113,4664.0,1.7774442538593482
108,5662,2305,49,48,211135.0,8.9389884828822,3.6390618956276004,0.07735966719555419,0.07578089847727758,3464.0,1.634526558891455
109,8324,3613,659,149,114528.0,24.226972152370305,10.515623544751792,1.9180171370028871,0.4336639657259942,4708.0,1.768054375531011
110,13836,6330,1830,106,135884.0,33.94071413852993,15.527950310559008,4.489123075564453,0.260025708202094,7175.0,1.928362369337979
111,16380,6283,3272,193,125413.0,43.53615653879582,16.69949154659671,8.696599767700851,0.5129718078136504,3886.0,4.215131240349974
112,11920,5334,1151,134,202680.0,19.603973422801133,8.772449180974936,1.892967567923163,0.22038023814222746,8223.0,1.4495926061048279
201,16581,6852,1905,188,100606.0,54.93708128739837,22.702423314712842,6.3117507902113195,0.6228919415011696,8261.0,2.0071419924948555
202,8656,4017,330,56,55508.0,51.980495303980206,24.122648987533328,1.9816963320602434,0.3362878624102232,4098.0,2.112249877989263
203,10183,4619,647,50,88856.0,38.20038414213259,17.327661234656826,2.427148044776567,0.18756940067825098,6168.0,1.6509403372243838
204,17823,7964,864,101,153883.0,38.60725356277172,17.251201670533238,1.8715517633526768,0.21878093529932913,7804.0,2.283828805740646
205,13271,5271,1178,116,137347.0,32.20795988748692,12.792416288670301,2.8589387949257477,0.281525382182841,7080.0,1.8744350282485875
206,9742,4300,569,66,87409.0,37.151018011112505,16.39800630751219,2.169875718366148,0.25169032937111735,6019.0,1.618541285927895
207,13230,4830,1169,183,139443.0,31.625825606161655,11.545936332408223,2.7944512572640194,0.4374547306067712,6220.0,2.127009646302251
208,4444,1703,142,69,106607.0,13.895272668148746,5.324853589976893,0.4439983615835108,0.21574568274128342,2970.0,1.4962962962962962
209,13182,5520,571,153,172669.0,25.44753256230128,10.656226653307773,1.1023017063475975,0.29536280397755243,8116.0,1.6241991128634796
210,5880,2127,183,226,129124.0,15.179207583408198,5.490846008487965,0.47241411356525514,0.5834185227636484,3935.0,1.49428208386277
211,6255,2620,171,70,117283.0,17.777512512469837,7.446376144311907,0.4860039391898229,0.19894898095489824,4250.0,1.4717647058823529
212,11665,5015,299,183,161037.0,24.145589729896443,10.380637162060065,0.6189053861327936,0.3787949353254221,8015.0,1.4553961322520275
301,10224,5294,616,230,201535.0,16.91021410673084,8.756130035312312,1.0188470158202463,0.38041365850431275,8118.0,1.2594235033259424
302,12521,5510,503,95,126308.0,33.043565464314746,14.541174483537596,1.3274429700942667,0.25070990488857925,4693.0,2.668016194331984
303,14020,6897,1147,159,182441.0,25.615587139586676,12.601334129937898,2.095654668267184,0.29050487554880755,8086.0,1.7338609943111551
304,7648,3727,683,145,115024.0,22.1634905179209,10.800644503176148,1.979297074233783,0.4202021607084898,5592.0,1.3676680972818311
305,17078,9368,806,170,205303.0,27.728122173892572,15.210039145393232,1.3086348795033034,0.27601480088779345,11271.0,1.5152160411675983
306,4890,2120,423,123,120661.0,13.50892168969261,5.856628626206203,1.1685631645685017,0.3397949627468693,3736.0,1.3088865096359743
307,7384,2939,565,150,122767.0,20.048818765086168,7.979886017143587,1.5340713166676172,0.4072755707967125,4285.0,1.723220536756126
308,7792,4544,300,59,110281.0,23.551956668268634,13.73461128087945,0.9067745123820059,0.17833232076846117,3695.0,2.1087956698240866
309,6396,3022,319,90,99978.0,21.324691432115067,10.075549954323286,1.063567318143325,0.30006601452319515,3685.0,1.735685210312076
310,5146,1713,381,176,127569.0,13.44631794035646,4.476009061762654,0.995539668728296,0.4598818417222575,3155.0,1.6310618066561013
311,5448,2109,278,123,188487.0,9.634616710966805,3.729700191525145,0.49163425948031786,0.21752163279165143,3570.0,1.5260504201680671
312,3974,1666,129,133,192058.0,6.897222019737094,2.89148764088626,0.2238906996844703,0.23083304696150816,3237.0,1.2276799505715168
313,8270,3911,568,91,110299.0,24.99267143552223,11.819387906206464,1.7165462364421558,0.2750100484440777,3975.0,2.080503144654088
314,7373,3826,415,74,164539.0,14.936681678305245,7.750948609954682,0.8407327948591723,0.14991379956525,4354.0,1.693385392742306
315,4962,2313,227,118,157254.0,10.518015439988808,4.902895951772292,0.48117482968106806,0.25012612291791203,3676.0,1.3498367791077257
316,11229,5791,792,94,94660.0,39.54151700824002,20.39228114655962,2.7889287978026625,0.33100922600183114,6117.0,1.8357037763609612
317,9929,5212,299,90,158546.0,20.87511931342744,10.957913371093142,0.6286293357553434,0.18921953250160836,6265.0,1.5848363926576217
318,10479,4779,267,178,200230.0,17.44493832093093,7.955850771612646,0.44448883783648807,0.29632589189099207,5461.0,1.9188793261307453
401,10835,4706,573,213,171270.0,21.087561549989292,9.159027656137482,1.1151982250248145,0.4145501255327845,7921.0,1.3678828430753693
402,5643,2519,119,113,124372.0,15.123982890039558,6.751251621479647,0.3189356661199198,0.30285487623152046,4704.0,1.1996173469387754
403,9185,3950,398,337,161901.0,18.910733514102237,8.132541903179515,0.8194308044216321,0.6938396509801257,7876.0,1.1662011173184357
404,9481,3963,287,170,175166.0,18.041933556359872,7.541417855063197,0.5461486057035422,0.32350265843066955,6846.0,1.3848962898042652
405,5728,2515,175,212,184935.0,10.324348194410648,4.533124250862916,0.3154261407161075,0.38211623903894165,5039.0,1.1367334788648542
406,4398,1822,54,182,122344.0,11.982606421238476,4.964144815710892,0.14712613614071798,0.4958695699557532,2514.0,1.7494033412887828
407,10207,4586,419,182,250032.0,13.607591561613447,6.113884089503211,0.5585951664853565,0.24263560930867514,6560.0,1.5559451219512195
408,6020,2917,192,170,159983.0,12.542999360348704,6.077729092049363,0.40004250451610485,0.35420430087363447,4468.0,1.3473589973142346
409,7886,3730,395,142,150819.0,17.429280572518493,8.24387731872863,0.873011136969922,0.31384197835374417,4752.0,1.6595117845117846
410,7034,3380,237,213,138303.0,16.953115020402063,8.146364624532128,0.5712095905367202,0.5133655813684447,5078.0,1.3851910200866482
411,2318,1014,34,151,123356.0,6.263713695861301,2.740036966179189,0.09187500675551522,0.4080331182377293,2338.0,0.9914456800684346
412,25199,11000,2313,268,257420.0,32.63020226348639,14.243907492295339,2.9951052754253746,0.3470333825395592,11336.0,2.222918136908963
413,8447,4227,230,162,206684.0,13.623050969918651,6.8171701728242144,0.37093663112126085,0.26126840974627935,6061.0,1.3936644118132322
414,7784,4160,384,177,134226.0,19.330581755149275,10.330835059278133,0.9536155439333661,0.43955716478178597,1596.0,4.87719298245614
501,17103,7724,1614,392,182838.0,31.18060796989685,14.081682509471044,2.942495542502106,0.714658149108318,8842.0,1.9342908844152906
502,4995,1867,262,178,141364.0,11.778104750855945,4.402346660630241,0.6177904794242758,0.41972024937985153,2861.0,1.7458930443900733
503,3465,1068,277,166,168027.0,6.8738952668321165,2.1187071125473884,0.5495148597150061,0.32931215419744053,1868.0,1.8549250535331905
