boro_cd,fire_incidents_night,structural_fires_night,gas_leak_incidents_night,co_incidents_night,day_count,fire_night_day_ratio,population,fire_incidents_night_per_1k,structural_fires_night_per_1k
101,4775,236,0.0,0.0,15434,0.5156364735864541,72470.0,21.96311117243917,1.0855066464284073
102,7206,416,0.0,0.0,21135,0.5682517151644192,85706.0,28.02604251744335,1.6179341780816587
103,13528,621,0.0,0.0,37735,0.5975001104191511,155194.0,29.056106120941102,1.3338144515896233
104,12231,546,0.0,0.0,31875,0.6395294117647059,116457.0,35.00862979468817,1.5628085902951305
105,13417,567,0.0,0.0,38919,0.5745694048322585,50450.0,88.64882722167161,3.7462834489593657
106,7803,332,0.0,0.0,21802,0.5965049078066232,143639.0,18.107895487994206,0.7704499938503239
107,8673,386,0.0,0.0,28860,0.5008662508662508,220646.0,13.102435575537287,0.5831361849599207
108,7825,344,0.0,0.0,26317,0.4955605375486061,211135.0,12.353865220514521,0.543096439087156
109,7250,394,0.0,0.0,19322,0.6253665942103991,114528.0,21.101099003446027,1.1467355872217566
110,11706,633,0.0,0.0,34838,0.560020667087663,135884.0,28.71566924729917,1.5527950310559009
111,12515,598,0.0,0.0,39464,0.5285407797824178,125413.0,33.26343095744992,1.5894152387179428
112,11279,576,0.0,0.0,30645,0.6134225267852287,202680.0,18.549766462732713,0.9473060982830077
201,11652,571,0.0,0.0,35705,0.5439014143677356,100606.0,38.60604735304057,1.8918686095594035
202,5047,276,0.0,0.0,13788,0.6100715598104632,55508.0,30.30794359972136,1.6574187504503854
203,9994,596,0.0,0.0,26441,0.629956002672617,88856.0,37.491371807568804,2.235827256084751
204,11116,522,0.0,0.0,29813,0.6214291304688111,153883.0,24.07889977017171,1.130729190358909
205,11038,625,0.0,0.0,27961,0.6579402262675392,137347.0,26.788596280467235,1.5168393436575487
206,8893,497,0.0,0.0,22591,0.6560872323786758,87409.0,33.91336513783859,1.8953044499612928
207,9584,515,0.0,0.0,25112,0.63608367845386,139443.0,22.910197476149154,1.2310884495217878
208,5105,289,0.0,0.0,14919,0.570301852224233,106607.0,15.962053773829737,0.9036304682932015
209,10651,478,0.0,0.0,29862,0.5944567231487062,172669.0,20.561498203692228,0.9227674529494775
210,5608,230,0.0,0.0,19035,0.4910253042640749,129124.0,14.47704015778115,0.5937445143169874
211,6430,322,0.0,0.0,19814,0.5408633626055651,117283.0,18.274884964857083,0.915165312392532
212,9539,563,0.0,0.0,27028,0.5882171575156628,161037.0,19.74494474354755,1.1653636534875007
301,10379,596,0.0,0.0,29834,0.5798194453755223,201535.0,17.16657983311418,0.9857675672546539
302,7960,394,0.0,0.0,27911,0.47532036353647905,126308.0,21.006850978032535,1.0397863423800024
303,11653,663,0.0,0.0,32860,0.5910428078717793,182441.0,21.290901350756318,1.211350518797858
304,6499,389,0.0,0.0,16799,0.6447804432803539,115024.0,18.833750637548107,1.1273009690731208
305,13502,691,0.0,0.0,36473,0.616986081027975,205303.0,21.922069656394047,1.1219189847850901
306,5191,297,0.0,0.0,18307,0.4725878989821744,120661.0,14.34045245218698,0.8204805198034162
307,4904,255,0.0,0.0,14962,0.5462727799313817,122767.0,13.31519599458052,0.6923684703544112
308,6129,426,0.0,0.0,17250,0.5921739130434782,110281.0,18.52540328796438,1.2876198075824483
309,5335,340,0.0,0.0,15001,0.5927382618936515,99978.0,17.787246527569398,1.1335827215320704
310,4186,226,0.0,0.0,13694,0.5094688671437613,127569.0,10.937871530962328,0.5905300922115352
311,5011,222,0.0,0.0,16214,0.5150898400559187,188487.0,8.861795950560692,0.3926000201605416
312,4752,332,0.0,0.0,15356,0.5157593123209169,192058.0,8.247508565120953,0.5762148239941407
313,6512,308,0.0,0.0,20230,0.5364969517218652,110299.0,19.67983995019598,0.9308032408876478
314,6743,426,0.0,0.0,21140,0.5316146326080101,164539.0,13.660388519844332,0.863017278578331
315,5601,341,0.0,0.0,18295,0.5102487018311014,157254.0,11.872511986976484,0.722822100974644
316,9189,489,0.0,0.0,24872,0.6157526535863621,94660.0,32.35791252905134,1.7219522501584619
317,8278,522,0.0,0.0,23269,0.5929204807540791,158546.0,17.403992111647934,1.0974732885093286
318,7551,440,0.0,0.0,24506,0.5135477026034441,200230.0,12.570543874544274,0.7324909687193061
401,9530,489,0.0,0.0,27740,0.5725787070415765,171270.0,18.547712189330685,0.9517136684766742
402,5320,302,0.0,0.0,15034,0.5897742893884972,124372.0,14.258300367714062,0.8093997577160991
403,6355,342,0.0,0.0,15731,0.6732990062085479,161901.0,13.084127542963499,0.7041340078195935
404,5753,293,0.0,0.0,15149,0.6329350672211587,175166.0,10.94771055265672,0.5575663465893306
405,5788,355,0.0,0.0,16970,0.5684541347475938,184935.0,10.432494299799028,0.6398644568812465
406,3148,169,0.0,0.0,10902,0.4812572616645264,122344.0,8.576908825388522,0.4604503149589137
407,7490,396,0.0,0.0,24753,0.5043159751679931,250032.0,9.985388536933938,0.5279324246496448
408,4856,281,0.0,0.0,15686,0.5159590292830124,159983.0,10.117741676719818,0.5854788737970076
409,5326,286,0.0,0.0,15042,0.5901254265833444,150819.0,11.771284343042543,0.6321042662617663
410,4762,261,0.0,0.0,14253,0.5568418344675974,138303.0,11.47721548580532,0.6290535997049955
411,2664,134,0.0,0.0,10156,0.437179992122883,123356.0,7.1986769999027205,0.36209561485997166
412,12676,731,0.0,0.0,37506,0.5632876517534972,257420.0,16.4141610338487,0.9465723978970813
413,7294,482,0.0,0.0,23576,0.515637371338084,206684.0,11.763529510428159,0.7773541573932509
414,6700,386,0.0,0.0,20719,0.5389578004086426,134226.0,16.63860454258738,0.958582291558019
501,9318,443,0.0,0.0,29618,0.5243433047471132,182838.0,16.98771590150844,0.8076366327933289
502,5238,292,0.0,0.0,19503,0.4476234425473004,141364.0,12.351093630627316,0.6885298472972845
503,4395,228,0.0,0.0,17360,0.42194700460829493,168027.0,8.71883685360091,0.45230825998202673
