boro_cd,median_response_hours,mean_response_hours,p25_response_hours,p75_response_hours,n_complaints
101,0.7208333333333333,19.179662271370375,0.3688888888888889,13.45,6737
102,0.5391666666666667,7.53885044088718,0.27666666666666667,1.1775,17679
103,0.5458333333333333,4.018121865147607,0.2811111111111111,1.0084027777777778,37216
104,0.5869444444444445,12.501315913370998,0.309375,1.3606944444444444,17228
105,0.5166666666666667,12.933410953779802,0.25666666666666665,1.370138888888889,10099
106,0.4608333333333333,16.43223137752022,0.22833333333333333,1.368611111111111,11044
107,0.4886111111111111,28.02611301919594,0.2698611111111111,1.0290277777777779,18343
108,0.55375,18.789209208149902,0.2886111111111111,1.9409722222222223,11812
109,0.43527777777777776,2.522762928817732,0.2336111111111111,0.7590972222222222,26358
110,0.5233333333333333,3.0625958168636345,0.2945138888888889,0.9799305555555555,33226
111,0.47583333333333333,2.988159513162682,0.2783333333333333,0.7827777777777778,18934
112,0.5061111111111111,2.245902852399075,0.24298611111111112,1.0575,59560
201,0.9358333333333333,3.214426661881145,0.39770833333333333,2.6079166666666667,15324
202,0.6841666666666667,1.9766764233241507,0.38381944444444444,1.2063194444444445,7744
203,0.5338888888888889,1.6798137258288286,0.20166666666666666,1.2538888888888888,19301
204,1.5638888888888889,4.172130147971302,0.5780555555555555,3.8405555555555555,36441
205,1.6752777777777779,3.3253286356539062,0.6416666666666667,3.911458333333333,37146
206,1.3830555555555555,3.173644345327788,0.59125,3.230138888888889,16591
207,0.6144444444444445,1.8983354069865597,0.2875,1.1413888888888888,30274
208,0.7191666666666666,3.696692422019039,0.36666666666666664,1.5558333333333334,14765
209,0.9713888888888889,2.787591809039137,0.40444444444444444,2.5,22925
210,1.0197222222222222,3.77077791718946,0.44555555555555554,2.2711111111111113,10361
211,1.073611111111111,3.43175149561964,0.5016666666666667,2.2223611111111112,11998
212,2.85625,23.64343772665216,0.5027777777777778,11.753194444444444,62504
301,0.8680555555555556,4.091278717356426,0.39,2.004166666666667,32757
302,0.7797222222222222,10.07566216510182,0.38055555555555554,1.6696527777777779,15834
303,0.5122222222222222,2.5407275261399627,0.2638888888888889,0.9388888888888889,25610
304,1.0283333333333333,2.6929380256243878,0.5051388888888889,1.9933333333333334,26199
305,0.9033333333333333,2.3443361597738845,0.44333333333333336,1.8477777777777777,20835
306,0.4861111111111111,20.955408454184898,0.27361111111111114,0.8244444444444444,9217
307,0.42027777777777775,3.7517474042434973,0.22833333333333333,0.6944444444444444,9599
308,0.8563888888888889,8.089759603248845,0.4186111111111111,2.0444444444444443,14966
309,0.5813888888888888,3.6524868910723822,0.30833333333333335,1.192361111111111,13943
310,0.46444444444444444,5.041821058112059,0.24958333333333332,0.7566666666666667,8323
311,0.5795833333333333,3.5926427827080816,0.3121527777777778,1.0967361111111111,9916
312,0.61,4.078360522942113,0.3233333333333333,1.28375,7887
313,0.42777777777777776,3.0193003859939345,0.2502083333333333,0.7064583333333333,8060
314,0.7156944444444444,3.458315383630172,0.3529861111111111,1.6133333333333333,14748
315,0.4222222222222222,3.1637728919631094,0.235,0.7534722222222222,10120
316,0.6329166666666667,2.2379666710290973,0.37631944444444443,1.054861111111111,10188
317,0.6230555555555556,2.3265373144005705,0.35777777777777775,1.0698611111111112,15423
318,0.5355555555555556,2.7408539630486968,0.3075,0.8783333333333333,10368
401,0.9013888888888889,4.044995498780447,0.41333333333333333,2.280069444444444,26968
402,0.6855555555555556,4.9929225676694875,0.37833333333333335,1.1825,11933
403,1.1791666666666667,2.593271455436517,0.5141666666666667,2.4380555555555556,17548
404,0.8530555555555556,2.537663080173007,0.3491666666666667,1.9252777777777779,16621
405,0.9113888888888889,3.2883981606872883,0.4443055555555555,2.0834722222222224,15507
406,0.5305555555555556,4.787722497152508,0.2627777777777778,1.0355555555555556,8487
407,1.1191666666666666,6.645768432404504,0.4666666666666667,2.784513888888889,18494
408,0.9758333333333333,3.581847265050786,0.35388888888888886,2.2622222222222224,10053
409,0.7663888888888889,2.454828256842227,0.4075,1.5885416666666667,15354
410,1.3658333333333332,6.365450011346991,0.5716666666666667,3.0855555555555556,16157
411,0.6366666666666667,4.386802766005364,0.3438888888888889,1.2720833333333332,5427
412,0.7858333333333334,2.405164777850893,0.4061111111111111,1.6320833333333333,22795
413,1.5741666666666667,4.381573132520297,0.6663888888888889,3.4013888888888886,9539
414,0.65,2.7347679730455994,0.35777777777777775,1.2844444444444445,8063
501,0.5431944444444444,3.2957846781341003,0.30916666666666665,0.9036111111111111,12286
502,0.5930555555555556,5.848399476075566,0.3490277777777778,1.0106944444444443,5111
503,0.6305555555555555,4.740547924947946,0.3655555555555556,1.0429166666666667,4696
