boro_cd,restaurant_count,late_night_food_count,cuisine_diversity,population,restaurants_per_1k,late_night_food_per_1k
101,892,161,62,72470.0,12.308541465433972,2.2216089416310196
102,1526,285,61,85706.0,17.805054488600565,3.325321447739948
103,1544,476,69,155194.0,9.948838228282021,3.0671288838486026
104,1297,304,64,116457.0,11.137157920949363,2.6104055574160423
105,2989,603,73,50450.0,59.24677898909811,11.95242814667988
106,853,231,59,143639.0,5.938498597177646,1.6081983305369711
107,671,181,53,220646.0,3.0410703117210374,0.8203185192570905
108,893,222,51,211135.0,4.2295213962630545,1.0514599663722264
109,294,95,42,114528.0,2.5670578373847444,0.829491478066499
110,198,80,39,135884.0,1.4571251950192814,0.588737452533043
111,333,156,37,125413.0,2.655227129563921,1.2438901868227377
112,492,215,40,202680.0,2.4274718768502073,1.0607854746398262
201,241,135,31,100606.0,2.395483370773115,1.3418682782339026
202,115,65,19,55508.0,2.0717734380629818,1.1710023780355985
203,89,47,19,88856.0,1.0016205996218601,0.5289457099126678
204,279,128,28,153883.0,1.8130657707479059,0.8318007837123008
205,189,110,23,137347.0,1.376076652566128,0.8008911734511857
206,249,95,32,87409.0,2.848676909700374,1.0868446041025523
207,224,127,28,139443.0,1.6063911419002745,0.910766406345245
208,191,77,34,106607.0,1.791627191460223,0.722279024829514
209,239,139,32,172669.0,1.3841511794242163,0.8050084265270546
210,304,138,36,129124.0,2.3543260741612713,1.068740125770577
211,220,100,34,117283.0,1.875804677574755,0.8526384898067069
212,234,157,30,161037.0,1.4530822109204717,0.9749312269851028
301,1208,305,68,201535.0,5.993996080085345,1.5133847718758529
302,821,216,62,126308.0,6.4999841656902175,1.710105456503151
303,448,146,45,182441.0,2.4555883819974675,0.8002587137759605
304,421,146,42,115024.0,3.6601057170677422,1.2693003199332313
305,248,146,27,205303.0,1.2079706580030491,0.7111440164050209
306,667,191,54,120661.0,5.527883906150289,1.582947265479318
307,581,285,46,122767.0,4.732542132657799,2.321470753541261
308,347,114,47,110281.0,3.1465075579655606,1.0337229441154867
309,236,101,43,99978.0,2.3605193142491347,1.010222248894757
310,463,165,41,127569.0,3.6294083985921346,1.2934176798438493
311,460,207,43,188487.0,2.440486611808772,1.0982189753139475
312,305,110,35,192058.0,1.5880619396224058,0.5727436503556218
313,205,56,37,110299.0,1.858584393330855,0.5077108586659896
314,360,149,43,164539.0,2.187931128790135,0.9055603838603614
315,379,115,39,157254.0,2.410113574217508,0.7313009525989801
316,118,68,24,94660.0,1.2465666596239173,0.7183604479188676
317,265,175,27,158546.0,1.6714392037642074,1.1037806062593822
318,320,161,39,200230.0,1.5981621135693953,0.804075313389602
401,893,307,63,171270.0,5.213989607053191,1.7924913878671103
402,646,223,48,124372.0,5.19409513395298,1.793008072556524
403,498,251,42,161901.0,3.0759538236329607,1.5503301400238416
404,491,242,43,175166.0,2.803055387461037,1.381546647180389
405,481,197,46,184935.0,2.6009138345905316,1.06523913807554
406,320,111,49,122344.0,2.615575753612764,0.9072778395344275
407,1104,604,48,250032.0,4.415434824342484,2.415690791578678
408,262,82,39,159983.0,1.637674002862804,0.5125544589112593
409,308,146,36,150819.0,2.042183014076476,0.968047792386901
410,302,148,36,138303.0,2.1836113461023983,1.0701141696130958
411,355,168,43,123356.0,2.877849476312462,1.3619118648464608
412,478,264,38,257420.0,1.8568875767228652,1.0255613394452645
413,287,153,38,206684.0,1.3885932147626328,0.7402604942811248
414,152,69,30,134226.0,1.1324184584208723,0.5140583791515801
501,430,185,44,182838.0,2.351808704973802,1.0118246753957054
502,370,148,43,141364.0,2.617356611301321,1.0469426445205285
503,291,116,31,168027.0,1.7318645217732866,0.6903652389199355
