boro_cd,subway_stations_late_night,subway_trips_late_night,subway_routes_late_night,mean_trains_per_hour_late_night,subway_last_train_hour,population,subway_late_night_trips_per_1k,late_night_transit_gap
101,23.0,1139.0,42.0,8.253623188405797,23.0,72470.0,15.716848351041811,0
102,19.0,1284.0,42.0,11.263157894736842,23.0,85706.0,14.981448206659977,0
103,7.0,285.0,8.0,6.785714285714286,23.0,155194.0,1.8364112014639742,0
104,10.0,686.0,22.0,11.433333333333334,23.0,116457.0,5.890586224958569,0
105,30.0,2128.0,72.0,11.822222222222223,23.0,50450.0,42.18037661050545,0
106,3.0,138.0,4.0,7.666666666666667,23.0,143639.0,0.9607418598013073,0
107,7.0,547.0,14.0,13.023809523809524,23.0,220646.0,2.479084143832202,0
108,10.0,651.0,21.0,10.85,23.0,211135.0,3.0833353067942313,0
109,9.0,422.0,17.0,7.814814814814814,23.0,114528.0,3.6846884604638164,0
110,9.0,513.0,18.0,9.5,23.0,135884.0,3.775278914368138,0
111,5.0,356.0,10.0,11.866666666666667,23.0,125413.0,2.8386211955698375,0
112,14.0,593.0,16.0,7.059523809523809,23.0,202680.0,2.9257943556344976,0
201,10.0,460.0,15.0,7.666666666666667,23.0,100606.0,4.5722919110192235,0
202,6.0,285.0,8.0,7.916666666666667,23.0,55508.0,5.134395042156085,0
203,2.0,91.0,4.0,7.583333333333334,23.0,88856.0,1.0241289277032504,0
204,7.0,303.0,10.0,7.214285714285714,23.0,153883.0,1.969028417693962,0
205,7.0,306.0,11.0,7.285714285714286,23.0,137347.0,2.2279336279642075,0
206,2.0,128.0,4.0,10.666666666666666,23.0,87409.0,1.4643800981592283,0
207,9.0,402.0,11.0,7.444444444444445,23.0,139443.0,2.8828983885888855,0
208,3.0,137.0,3.0,7.611111111111112,23.0,106607.0,1.2850938493719926,0
209,4.0,198.0,4.0,8.25,23.0,172669.0,1.14670265073638,0
210,6.0,299.0,6.0,8.305555555555555,23.0,129124.0,2.3156036058362504,0
211,6.0,240.0,6.0,6.666666666666667,23.0,117283.0,2.0463323755360965,0
212,9.0,378.0,9.0,7.0,23.0,161037.0,2.347286648409993,0
301,14.0,591.0,17.0,7.035714285714286,23.0,201535.0,2.9324931153397675,0
302,20.0,1189.0,36.0,9.908333333333333,23.0,126308.0,9.413497165658548,0
303,10.0,436.0,16.0,7.2666666666666675,23.0,182441.0,2.389813693193964,0
304,12.0,514.0,12.0,7.138888888888889,23.0,115024.0,4.468632633189595,0
305,16.0,731.0,26.0,7.614583333333333,23.0,205303.0,3.560590931452536,0
306,8.0,697.0,18.0,14.520833333333332,23.0,120661.0,5.776514366696778,0
307,9.0,776.0,20.0,14.370370370370372,23.0,122767.0,6.320916858764978,0
308,2.0,121.0,4.0,10.083333333333332,23.0,110281.0,1.0971971599822272,0
309,10.0,496.0,17.0,8.266666666666667,23.0,99978.0,4.961091440116826,0
310,5.0,197.0,5.0,6.566666666666667,23.0,127569.0,1.5442623207832624,0
311,14.0,552.0,14.0,6.571428571428571,23.0,188487.0,2.9285839341705264,0
312,9.0,406.0,10.0,7.518518518518519,23.0,192058.0,2.113944745858022,0
313,7.0,457.0,12.0,10.88095238095238,23.0,110299.0,4.143283257327809,0
314,9.0,362.0,9.0,6.703703703703704,23.0,164539.0,2.200086301727858,0
315,7.0,292.0,8.0,6.952380952380952,23.0,157254.0,1.8568685057295842,0
316,9.0,397.0,19.0,7.351851851851852,23.0,94660.0,4.193957320938094,0
317,3.0,123.0,3.0,6.833333333333333,23.0,158546.0,0.7758000832565943,0
318,3.0,142.0,3.0,7.888888888888889,23.0,200230.0,0.7091844378964192,0
401,11.0,557.0,23.0,8.43939393939394,23.0,171270.0,3.2521749284755064,0
402,16.0,759.0,23.0,7.90625,23.0,124372.0,6.102659762647542,0
403,3.0,151.0,3.0,8.38888888888889,23.0,161901.0,0.9326687296557772,0
404,7.0,489.0,19.0,11.642857142857142,23.0,175166.0,2.7916376465752486,0
405,5.0,214.0,5.0,7.133333333333333,23.0,184935.0,1.1571633276556628,0
406,5.0,422.0,16.0,14.066666666666666,23.0,122344.0,3.4492905250768326,0
407,1.0,51.0,1.0,8.5,23.0,250032.0,0.20397389134190821,0
408,1.0,43.0,1.0,7.166666666666667,23.0,159983.0,0.2687785577217579,0
409,8.0,357.0,9.0,7.4375,23.0,150819.0,2.3670757663159154,0
410,8.0,375.0,8.0,7.8125,23.0,138303.0,2.711437929762912,0
411,0.0,0.0,0.0,0.0,0.0,,0.0,1
412,5.0,290.0,7.0,9.666666666666666,23.0,257420.0,1.1265635925724495,0
413,0.0,0.0,0.0,0.0,0.0,,0.0,1
414,11.0,427.0,12.0,6.46969696969697,23.0,134226.0,3.1812018535902133,0
501,4.0,96.0,4.0,4.0,23.0,182838.0,0.5250549666918256,0
502,6.0,146.0,6.0,4.055555555555556,23.0,141364.0,1.0327947709459269,0
503,11.0,273.0,11.0,4.136363636363637,23.0,168027.0,1.6247388812512276,0
